"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"14","系统管理设置","0","选项表单管理","0","0","ERP分类集合","0"
"5","系统管理设置","1","网站配置管理","1","0","申请号码管理","0"
"5","系统管理设置","0","选项表单管理","0","0","选项分类配置","0"
"1","人力资源设置","0","人力资源设置","3","0","技能鉴定设置","0"
"3","协同办公","0","我的工作","0","0","我的提交","0"
"0","人力资源设置","1","薪资管理设置","5","0","薪资等级设置","0"
"0","","1","人力资源","0","1","新简历输入","0"
"5","","0","","4","0","","0"
"1","系统管理设置","1","菜单权限管理","2","1","公共表单","0"
"1","人力资源设置","0","组织架构设置","3","0","岗位工种设置","0"
"0","系统管理设置","0","菜单权限管理","4","0","职务统称","0"
"12","人力资源管理","0","人力资源工作","0","4","员工档案管理","0"
"0","人力资源设置","0","考勤管理设置","5","0","考勤分类设置","0"
"0","系统管理设置","0","网站配置管理","1","0","文件配置管理","0"
"10","系统管理设置","0","菜单权限管理","0","0","用户管理","0"
"1","人力资源管理","0","人力资源工作","7","3","待入职中人员","0"
"7","系统管理设置","0","网站配置管理","0","0","类别管理","0"
"2","协同办公","0","我的工作","0","3","临时文档","0"
"0","人力资源设置","0","薪资管理设置","4","0","薪资分类管理-个税分档设置","0"
"0","人力资源设置","0","薪资管理设置","4","0","薪资分类管理-工龄补贴设置","0"
"0","协同办公设置","0","流程设置","3","0","审批范围设置","0"
"0","人力资源设置","0","薪资管理设置","4","0","薪资分类管理-加班结算比例设置","0"
"0","人力资源设置","0","薪资管理设置","4","0","薪资分类管理-薪资配置设置","0"
"3","人力资源管理","0","人力资源工作","4","3","面试资料管理","0"
"1","人力资源管理","0","人力资源工作","8","3","储备人员管理","0"
"0","其它配置管理","0","短信信息管理","4","0","事件短信管理","0"
"1","系统管理设置","1","网站配置管理","8","0","接口缓存配置","0"
"0","人力资源设置","0","人力资源设置","7","0","档案管理设置","0"
"1","系统管理设置","0","菜单权限管理","4","0","人员权限分配","0"
"0","人力资源设置","2","薪资管理设置","2","0","薪资分类管理-社保缴纳标准设置","0"
"0","系统管理设置","0","菜单权限管理","3","0","权限分配","0"
"5","系统管理设置","0","选项表单管理","0","0","ERP分类配置","0"
"3","协同办公","0","我的工作","0","0","我的审批","0"
"0","人力资源管理","0","人力资源工作","13","5","人员需求管理","0"
"0","人力资源设置","0","薪资管理设置","11","0","岗位薪资类别","0"
"1","人力资源设置","0","组织架构设置","6","0","部门设置","0"
"0","人力资源设置","0","薪资管理设置","4","0","薪资分类管理-绩效薪资比例设置","0"
"0","系统管理设置","0","菜单权限管理","10","0","职务管理","0"
"0","系统管理设置","1","选项表单管理","1","0","工作地区配置","0"
"0","人力资源设置","0","考勤管理设置","5","0","考勤日历设置","0"
"1","人力资源设置","1","薪资管理设置","2","0","薪资分类管理-商业保险标准设置","0"
"1","组织架构管理","0","部门管理","2","0","岗位职责管理","0"
"0","人力资源设置","0","人力资源设置","4","0","综合测评设置","0"
"0","人力资源设置","0","人力资源设置","6","0","技能测评设置","0"
"5","系统管理设置","0","菜单权限管理","0","0","资源管理","0"
"0","协同办公设置","0","工作表单设置","5","0","奖罚内容设置","0"
"3","系统管理设置","1","选项表单管理","1","0","选项分类集合","0"
"0","其它配置管理","0","短信信息管理","4","0","普通短信管理","0"
"1","人力资源设置","0","组织架构设置","3","0","岗位性质设置","0"
"1","协同办公设置","0","流程设置","2","0","工作流程设置","0"
"0","组织架构管理","0","部门管理","2","0","部门结构管理","0"
"0","系统管理设置","0","网站配置管理","3","0","文本配置管理","0"
"0","系统管理设置","0","网站配置管理","1","0","登录背景图","0"
